memory.max_usage_in_bytes,own_file,input_1,input_2,chromInfo,own_file_extension,input_1_extension,input_2_extension,chromInfo_extension,dbkey,save_mapping_stats,analysis_type_selector,rg_selector,sam_options_selector
5563527168,0,884608916,884608916,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270004224,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5404463104,0,846525504,846525504,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
468307968,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5419499520,0,884279005,884279005,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
267714560,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
3877523456,0,614186700,614186700,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
267722752,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5478891520,0,884188588,884188588,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
268247040,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5451145216,0,884622984,884622984,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
271159296,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
5684682752,0,884253253,884253253,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270295040,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
3640438784,0,549426218,549426218,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
270557184,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
4567924736,0,711752433,711752433,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
269557760,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
4630917120,0,711792192,711792192,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
7300587520,0,143095221,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4073443328,0,93486552,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3674382336,0,7524505,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4128387072,0,217010402,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
7483305984,0,114718857,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4138258432,0,227204095,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3981185024,0,148876741,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4368334848,0,328103996,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4077060096,0,194355910,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4242059264,0,269800676,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4106899456,0,218813069,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3948503040,0,132930511,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4033052672,0,172195172,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
3895287808,0,108387976,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4075008000,0,204406584,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4117237760,0,211718190,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4128993280,0,218542554,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4061638656,0,187473702,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
4089446400,0,199095678,0,0,nan,fastqsanger,nan,nan,?,False,simple,do_not_set,none
20038254592,0,5329795599,5329795599,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
20508381184,0,6155301114,6155301114,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
19039678464,0,4180564595,4180564595,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
18754457600,0,4525307236,4525307236,0,nan,fastqsanger,fastqsanger,nan,?,True,simple,do_not_set,none
3729801216,0,32247479,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
3728805888,0,32246969,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
5928214528,0,25389640,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
3712565248,0,25390880,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
3715735552,0,24143463,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
3712663552,0,24144275,0,0,nan,fastqsanger,nan,nan,?,True,simple,do_not_set,none
392613888,0,731953402,0,0,nan,fastqsanger,nan,nan,dm6,True,simple,do_not_set,none
392040448,0,821084530,0,0,nan,fastqsanger,nan,nan,dm6,True,simple,do_not_set,none
390991872,0,867842810,0,0,nan,fastqsanger,nan,nan,dm6,True,simple,do_not_set,none
390078464,0,874850415,0,0,nan,fastqsanger,nan,nan,dm6,True,simple,do_not_set,none
391401472,0,804813140,0,0,nan,fastqsanger,nan,nan,dm6,True,simple,do_not_set,none
390983680,0,691445452,0,0,nan,fastqsanger,nan,nan,dm6,True,simple,do_not_set,none
470278144,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
606703616,0,442320206,442320206,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
275066880,0,594034,594034,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
2769047552,0,441868382,441868382,0,nan,fastqsanger,fastqsanger,nan,?,False,full,do_not_set,none
