memory.max_usage_in_bytes,input_2,input_1,history_item,chromInfo,input_format|paired|reverse,input_format|paired|forward,known_splice_gtf,input_format|reads_r,input_format|reads_f,input_format|reads,input_format|reads2,input_format|reads1,adv|known_splice_gtf,input_2_extension,input_1_extension,history_item_extension,chromInfo_extension,input_format|paired|reverse_extension,input_format|paired|forward_extension,known_splice_gtf_extension,input_format|reads_r_extension,input_format|reads_f_extension,input_format|reads_extension,input_format|reads2_extension,input_format|reads1_extension,adv|known_splice_gtf_extension,dbkey,rna_strandness,type,new_summary,summary_file
32212516864,0,2401736271,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32212516864,0,2072196618,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32212439040,0,2115963778,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32212021248,0,2555855332,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32255451136,0,2350346979,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32212516864,0,2644335867,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211636224,0,2376497957,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211849216,0,2524916003,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211697664,0,2226007822,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211951616,0,2508170571,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211820544,0,2356338645,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32214245376,0,2698703544,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211578880,0,3004870900,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211607552,0,2838289917,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32210980864,0,3567099941,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211230720,0,1894873828,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32211382272,0,2333328345,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32214884352,0,2587452589,12760449758,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger,fasta,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
14802698240,0,2096969084,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
14991339520,0,1677904974,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
15434899456,0,1949201353,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
15035318272,0,1848131690,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
16343949312,0,2253014207,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
17154965504,0,2622614199,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
15182880768,0,1843558286,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
14698577920,0,1667046887,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
15281184768,0,1708435072,0,0,0,0,0,0,0,0,0,0,0,nan,fastqsanger.gz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,single,false,false
32212516864,10088696438,10088696438,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
32212500480,9132550216,9132550216,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
29970403328,8509743851,8509743851,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
32212496384,9345301455,9345301455,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
32212385792,9286146701,9286146701,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
28670124032,7416779382,7416779382,0,0,0,0,0,0,0,0,0,0,0,fastqsanger,fastqsanger,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,paired,false,false
